stem,has_gt,n_spur,spur_area,fp_px,ref_fp_inst,ref_fp_px
3000,0,0,0,0,0,0
3001,0,0,0,0,0,0
30010,1,3,166,2832,3,2832
300100,1,3,244,4603,3,4603
3001000,1,3,335,2958,3,2958
3001001,1,7,1101,12982,7,12982
3001002,1,8,1463,13193,8,13193
3001003,1,11,1384,7445,11,7445
3001004,1,7,935,6766,7,6766
3001005,1,2,146,8675,2,8675
3001006,1,6,596,6050,6,6050
3001007,1,2,81,1011,2,1011
3001008,1,2,95,85,2,85
3001009,1,3,163,3878,3,3878
300101,0,0,0,0,0,0
3001010,1,5,1266,5363,5,5363
3001011,1,4,1535,5929,4,5929
3001012,1,0,0,307,0,307
3001013,0,0,0,0,0,0
3001014,1,0,0,116,0,116
3001015,0,0,0,0,0,0
3001016,1,0,0,279,0,279
3001017,1,8,1056,7809,8,7809
3001018,1,4,589,4007,4,4007
3001019,1,4,261,5302,4,5302
300102,1,0,0,8,0,8
3001020,1,3,506,5934,3,5934
3001021,1,1,20,362,1,362
3001022,1,3,332,6249,3,6249
3001023,1,7,519,12808,7,12808
3001024,1,9,2013,11642,9,11642
3001025,1,4,548,4429,4,4429
3001026,1,2,277,2265,2,2265
3001027,1,0,0,208,0,208
3001028,1,1,68,121,1,121
3001029,1,1,121,363,1,363
300103,1,0,0,665,0,665
3001030,1,5,707,5467,5,5467
3001031,1,5,1011,8401,5,8401
3001032,1,9,1669,9184,9,9184
3001033,1,4,128,1450,4,1450
3001034,1,0,0,97,0,97
3001035,0,0,0,0,0,0
3001036,1,0,0,2918,0,2918
3001037,1,0,0,121,0,121
3001038,1,1,30,204,1,204
3001039,1,1,627,1990,1,1990
300104,1,0,0,202,0,202
3001040,1,1,19,505,1,505
3001041,1,2,191,3446,2,3446
3001042,1,2,118,4973,2,4973
3001043,1,4,598,5326,4,5326
3001044,1,9,1315,9889,9,9889
3001045,1,7,778,9923,7,9923
3001046,1,3,204,5533,3,5533
3001047,1,1,27,616,1,616
3001048,1,0,0,181,0,181
3001049,1,1,162,1035,1,1035
300105,1,0,0,1912,0,1912
3001050,1,9,2511,6726,9,6726
3001051,1,5,1777,8077,5,8077
3001052,1,5,690,10091,5,10091
3001053,1,5,1256,11577,5,11577
3001054,1,3,262,5857,3,5857
3001055,1,1,21,95,1,95
3001056,0,0,0,0,0,0
3001057,0,0,0,0,0,0
3001058,1,3,200,1687,3,1687
3001059,1,0,0,1782,0,1782
300106,1,2,485,3313,2,3313
3001060,1,0,0,52,0,52
3001061,1,0,0,325,0,325
3001062,0,0,0,0,0,0
3001063,1,0,0,160,0,160
3001064,1,0,0,14,0,14
3001065,1,0,0,456,0,456
3001066,1,2,49,2621,2,2621
3001067,1,3,93,3614,3,3614
3001068,1,0,0,695,0,695
3001069,0,0,0,0,0,0
300107,1,3,544,9935,3,9935
3001070,0,0,0,0,0,0
3001071,1,6,432,2061,6,2061
3001072,1,10,1422,7760,10,7760
3001073,1,11,2191,11106,11,11106
3001074,1,9,1074,12299,9,12299
3001075,1,10,1068,10728,10,10728
3001076,1,1,58,4417,1,4417
3001077,0,0,0,0,0,0
3001078,0,0,0,0,0,0
3001079,1,2,237,543,2,543
300108,1,2,76,12970,2,12970
3001080,1,1,176,8055,1,8055
3001081,1,3,331,10937,3,10937
3001082,1,1,111,3729,1,3729
3001083,1,2,2237,7077,2,7077
3001084,1,1,1372,3828,1,3828
3001085,1,0,0,45,0,45
3001086,1,0,0,312,0,312
3001087,0,0,0,0,0,0
3001088,0,0,0,0,0,0
3001089,0,0,0,0,0,0
300109,1,1,30,4396,1,4396
3001090,0,0,0,4,0,4
3001091,0,0,0,0,0,0
3001092,1,0,0,0,0,0
3001093,1,9,3134,6149,9,6149
3001094,1,14,2618,10213,14,10213
3001095,1,4,897,9314,4,9314
3001096,1,8,1293,10893,8,10893
3001097,1,2,324,10014,2,10014
3001098,1,1,77,2297,1,2297
3001099,0,0,0,0,0,0
30011,1,5,398,5253,5,5253
300110,1,0,0,68,0,68
3001100,0,0,0,0,0,0
3001101,1,0,0,2185,0,2185
3001102,1,6,404,8831,6,8831
3001103,1,5,405,6594,5,6594
3001104,1,4,366,4953,4,4953
3001105,1,6,663,9325,6,9325
3001106,1,7,793,9893,7,9893
3001107,1,1,145,2951,1,2951
3001108,0,0,0,0,0,0
3001109,0,0,0,0,0,0
300111,1,2,451,2665,2,2665
3001110,1,0,0,110,0,110
3001111,0,0,0,0,0,0
3001112,0,0,0,0,0,0
3001113,0,0,0,0,0,0
3001114,1,0,0,8,0,8
3001115,1,5,1943,6675,5,6675
3001116,1,11,1900,12854,11,12854
3001117,1,15,1227,11919,15,11919
3001118,1,5,285,11856,5,11856
3001119,1,11,845,9799,11,9799
300112,1,8,1354,4376,8,4376
3001120,1,3,634,5257,3,5257
3001121,1,0,0,390,0,390
3001122,0,1,189,189,1,189
3001123,1,1,144,6182,1,6182
3001124,1,8,1481,10546,8,10546
3001125,1,4,514,8036,4,8036
3001126,1,5,495,6553,5,6553
3001127,1,13,1240,9137,13,9137
3001128,1,14,2704,13568,14,13568
3001129,1,5,182,5474,5,5474
300113,1,31,37279,38620,31,38620
3001130,0,0,0,0,0,0
3001131,1,0,0,25,0,25
3001132,0,0,0,0,0,0
3001133,0,0,0,0,0,0
3001134,0,0,0,0,0,0
3001135,0,0,0,0,0,0
3001136,1,0,0,1948,0,1948
3001137,1,4,874,4634,4,4634
3001138,1,6,529,7778,6,7778
3001139,1,13,1990,8805,13,8805
300114,1,44,104137,105693,44,105693
3001140,1,6,556,11867,6,11867
3001141,1,5,677,8554,5,8554
3001142,1,3,392,9348,3,9348
3001143,1,3,604,4106,3,4106
3001144,1,1,97,2681,1,2681
3001145,1,5,656,7433,5,7433
3001146,1,6,1383,7806,6,7806
3001147,1,6,2444,9388,6,9388
3001148,1,5,671,8188,5,8188
3001149,1,5,483,8050,5,8050
300115,1,14,12741,13404,14,13404
3001150,1,5,411,9253,5,9253
3001151,1,1,583,4561,1,4561
3001152,0,0,0,0,0,0
3001153,1,1,63,234,1,234
3001154,0,0,0,0,0,0
3001155,0,0,0,0,0,0
3001156,0,0,0,0,0,0
3001157,1,2,38,1388,2,1388
3001158,1,6,3525,9118,6,9118
3001159,1,3,188,6230,3,6230
300116,1,3,295,2213,3,2213
3001160,1,4,261,7670,4,7670
3001161,1,8,987,12536,8,12536
3001162,1,3,288,10713,3,10713
3001163,1,4,614,8103,4,8103
3001164,1,3,647,6683,3,6683
3001165,1,3,507,5297,3,5297
3001166,1,4,745,11558,4,11558
3001167,1,0,0,7561,0,7561
3001168,1,6,1975,8687,6,8687
3001169,1,10,1537,10262,10,10262
300117,1,3,474,7933,3,7933
3001170,1,14,1790,9214,14,9214
3001171,1,14,939,10113,14,10113
3001172,1,10,1795,9690,10,9690
3001173,1,4,415,4966,4,4966
3001174,1,2,143,2034,2,2034
3001175,1,2,265,5312,2,5312
3001176,1,0,0,1047,0,1047
3001177,1,0,0,16,0,16
3001178,0,0,0,0,0,0
3001179,1,0,0,2454,0,2454
300118,1,2,467,3018,2,3018
3001180,1,1,97,5457,1,5457
3001181,1,0,0,1736,0,1736
3001182,1,3,339,4853,3,4853
3001183,1,5,457,9426,5,9426
3001184,1,8,1134,17058,8,17058
3001185,1,2,182,9131,2,9131
3001186,1,3,113,5813,3,5813
3001187,1,2,154,5584,2,5584
3001188,1,6,549,8200,6,8200
3001189,1,8,796,8525,8,8525
300119,1,0,0,214,0,214
3001190,1,7,931,8553,7,8553
3001191,1,9,1573,11433,9,11433
3001192,1,6,604,7361,6,7361
3001193,1,3,365,6939,3,6939
3001194,1,1,26,5767,1,5767
3001195,1,0,0,4470,0,4470
3001196,1,0,0,1304,0,1304
3001197,1,1,18,1473,1,1473
3001198,1,0,0,485,0,485
3001199,0,0,0,0,0,0
30012,1,2,218,4844,2,4844
300120,1,1,23,157,1,157
3001200,1,0,0,27,0,27
3001201,1,0,0,4569,0,4569
3001202,1,0,0,57,0,57
3001203,1,0,0,120,0,120
3001204,1,2,352,4736,2,4736
3001205,1,6,1016,10190,6,10190
3001206,1,6,1413,19368,6,19368
3001207,1,13,1396,13759,13,13759
3001208,1,5,735,11126,5,11126
3001209,1,1,52,4289,1,4289
300121,1,2,36,441,2,441
3001210,1,0,0,3057,0,3057
3001211,1,2,134,1206,2,1206
3001212,1,1,30,1376,1,1376
3001213,1,4,862,6968,4,6968
3001214,1,4,303,6362,4,6362
3001215,1,5,1230,7696,5,7696
3001216,1,4,541,7626,4,7626
3001217,1,6,793,7504,6,7504
3001218,1,1,18,5378,1,5378
3001219,0,0,0,0,0,0
300122,1,0,0,107,0,107
3001220,0,0,0,0,0,0
3001221,0,0,0,0,0,0
3001222,1,2,47,452,2,452
3001223,1,1,24,534,1,534
3001224,0,0,0,0,0,0
3001225,0,0,0,0,0,0
3001226,1,5,531,4510,5,4510
3001227,1,6,2763,8970,6,8970
3001228,1,16,2000,12947,16,12947
3001229,1,5,843,10201,5,10201
300123,0,0,0,0,0,0
3001230,1,3,286,9109,3,9109
3001231,1,3,305,3917,3,3917
3001232,1,0,0,26,0,26
3001233,1,0,0,346,0,346
3001234,1,3,338,2655,3,2655
3001235,1,7,517,9304,7,9304
3001236,1,3,165,5221,3,5221
3001237,1,1,79,2611,1,2611
3001238,1,3,203,4881,3,4881
3001239,1,2,97,5123,2,5123
300124,0,2,520,520,2,520
3001240,1,1,27,2234,1,2234
3001241,0,0,0,0,0,0
3001242,0,0,0,0,0,0
3001243,0,0,0,0,0,0
3001244,0,0,0,0,0,0
3001245,1,2,4664,5587,2,5587
3001246,1,1,406,1470,1,1470
3001247,1,0,0,1213,0,1213
3001248,1,3,417,9900,3,9900
3001249,1,5,6106,12019,5,12019
300125,1,0,0,529,0,529
3001250,1,7,1740,10993,7,10993
3001251,1,4,422,8718,4,8718
3001252,1,6,659,6261,6,6261
3001253,1,4,354,3952,4,3952
3001254,1,0,0,0,0,0
3001255,1,3,245,1674,3,1674
3001256,1,4,215,7288,4,7288
3001257,1,6,402,6696,6,6696
3001258,1,3,336,4275,3,4275
3001259,0,0,0,0,0,0
300126,1,3,169,2223,3,2223
3001260,1,0,0,876,0,876
3001261,1,0,0,1121,0,1121
3001262,1,1,26,158,1,158
3001263,0,0,0,0,0,0
3001264,0,0,0,0,0,0
3001265,0,0,0,0,0,0
3001266,0,0,0,0,0,0
3001267,1,0,0,192,0,192
3001268,1,0,0,416,0,416
3001269,1,4,639,6984,4,6984
300127,1,3,626,7911,3,7911
3001270,1,8,823,12049,8,12049
3001271,1,9,1356,8088,9,8088
3001272,1,6,492,7991,6,7991
3001273,1,6,201,8081,6,8081
3001274,1,9,1893,9999,9,9999
3001275,1,6,286,3602,6,3602
3001276,1,0,0,0,0,0
3001277,1,1,26,3438,1,3438
3001278,1,4,292,8464,4,8464
3001279,1,3,125,8003,3,8003
300128,1,3,707,8984,3,8984
3001280,1,2,294,3956,2,3956
3001281,0,0,0,0,0,0
3001282,0,0,0,0,0,0
3001283,0,0,0,0,0,0
3001284,0,0,0,0,0,0
3001285,1,0,0,86,0,86
3001286,0,0,0,0,0,0
3001287,1,0,0,386,0,386
3001288,1,4,578,2406,4,2406
3001289,1,3,210,1473,3,1473
300129,1,5,487,7827,5,7827
3001290,1,0,0,4359,0,4359
3001291,1,7,455,9424,7,9424
3001292,1,5,317,11680,5,11680
3001293,1,9,286,7511,9,7511
3001294,1,1,33,5458,1,5458
3001295,1,4,755,6284,4,6284
3001296,1,5,385,5991,5,5991
3001297,1,2,77,4489,2,4489
3001298,1,2,346,498,2,498
3001299,1,5,609,6469,5,6469
30013,1,3,353,3077,3,3077
300130,1,5,514,8872,5,8872
3001300,1,5,144,9102,5,9102
3001301,1,12,1560,11183,12,11183
3001302,1,4,532,4499,4,4499
3001303,0,0,0,0,0,0
3001304,0,0,0,0,0,0
3001305,0,0,0,0,0,0
3001306,0,0,0,0,0,0
3001307,1,0,0,59,0,59
3001308,1,1,98,201,1,201
3001309,1,1,93,4981,1,4981
300131,1,0,0,5857,0,5857
3001310,1,5,318,6821,5,6821
3001311,1,6,386,7407,6,7407
3001312,1,3,510,9147,3,9147
3001313,1,3,393,8735,3,8735
3001314,1,4,123,9591,4,9591
3001315,1,4,127,6880,4,6880
3001316,1,0,0,23,0,23
3001317,1,0,0,977,0,977
3001318,1,6,280,7337,6,7337
3001319,1,8,403,4640,8,4640
300132,1,10,6019,8090,10,8090
3001320,1,1,49,3758,1,3758
3001321,1,4,242,10388,4,10388
3001322,1,4,162,10924,4,10924
3001323,1,6,691,9186,6,9186
3001324,1,1,233,3696,1,3696
3001325,0,0,0,0,0,0
3001326,0,0,0,0,0,0
3001327,0,0,0,0,0,0
3001328,0,0,0,0,0,0
3001329,1,0,0,95,0,95
300133,1,4,5102,6331,4,6331
3001330,1,1,19,3994,1,3994
3001331,1,4,328,8399,4,8399
3001332,1,2,200,8072,2,8072
3001333,1,3,173,9189,3,9189
3001334,1,0,0,6131,0,6131
3001335,1,2,279,9178,2,9178
3001336,1,3,444,9701,3,9701
3001337,1,3,272,6177,3,6177
3001338,0,0,0,0,0,0
3001339,1,4,519,985,4,985
300134,1,8,10729,14209,8,14209
3001340,1,7,559,7605,7,7605
3001341,1,2,366,4082,2,4082
3001342,1,2,88,1973,2,1973
3001343,1,2,234,7044,2,7044
3001344,1,7,3175,10698,7,10698
3001345,1,9,3164,10248,9,10248
3001346,1,0,0,5425,0,5425
3001347,1,0,0,218,0,218
3001348,0,0,0,0,0,0
3001349,0,0,0,0,0,0
300135,1,19,39343,67823,19,67823
3001350,1,1,116,475,1,475
3001351,1,5,213,3115,5,3115
3001352,1,4,922,7537,4,7537
3001353,1,5,201,10734,5,10734
3001354,1,5,549,8890,5,8890
3001355,1,0,0,5082,0,5082
3001356,1,3,351,7666,3,7666
3001357,1,4,387,8853,4,8853
3001358,1,10,1532,12324,10,12324
3001359,1,1,187,7936,1,7936
300136,1,30,29764,34806,30,34806
3001360,0,0,0,0,0,0
3001361,1,2,185,4486,2,4486
3001362,1,0,0,6805,0,6805
3001363,1,0,0,3026,0,3026
3001364,1,1,129,4455,1,4455
3001365,1,2,189,6889,2,6889
3001366,1,4,374,12056,4,12056
3001367,1,4,612,13946,4,13946
3001368,1,6,1165,5162,6,5162
3001369,1,2,75,346,2,346
300137,1,8,2629,3191,8,3191
3001370,0,0,0,0,0,0
3001371,1,0,0,142,0,142
3001372,1,4,587,4606,4,4606
3001373,1,7,1154,8661,7,8661
3001374,1,9,1114,12170,9,12170
3001375,1,5,741,9302,5,9302
3001376,1,3,174,3536,3,3536
3001377,1,0,0,6588,0,6588
3001378,1,6,1895,10615,6,10615
3001379,1,5,1367,11504,5,11504
300138,1,1,50,2487,1,2487
3001380,1,4,972,9281,4,9281
3001381,1,1,452,5387,1,5387
3001382,1,0,0,347,0,347
3001383,1,1,34,4830,1,4830
3001384,1,2,64,6741,2,6741
3001385,1,1,19,2519,1,2519
3001386,1,4,725,4434,4,4434
3001387,1,3,834,8259,3,8259
3001388,1,1,49,8504,1,8504
3001389,1,8,6985,14162,8,14162
300139,1,3,112,3897,3,3897
3001390,1,4,2799,5534,4,5534
3001391,1,3,735,2161,3,2161
3001392,1,2,170,3264,2,3264
3001393,1,1,210,4341,1,4341
3001394,1,6,839,8706,6,8706
3001395,1,6,830,8457,6,8457
3001396,1,7,1258,9474,7,9474
3001397,1,6,1018,8276,6,8276
3001398,1,6,351,9509,6,9509
3001399,1,5,695,10008,5,10008
30014,1,4,664,2752,4,2752
300140,1,1,50105,50728,1,50728
3001400,1,7,2818,5736,7,5736
3001401,1,4,640,8016,4,8016
3001402,1,6,1136,10357,6,10357
3001403,1,1,275,3898,1,3898
3001404,0,0,0,0,0,0
3001405,1,4,228,8374,4,8374
3001406,1,4,531,8222,4,8222
3001407,1,0,0,1915,0,1915
3001408,1,5,1738,3646,5,3646
3001409,1,4,478,6957,4,6957
300141,1,1,36,0,1,0
3001410,1,4,480,6959,4,6959
3001411,1,2,44,3984,2,3984
3001412,1,2,97,4003,2,4003
3001413,1,2,61,5865,2,5865
3001414,1,2,175,5505,2,5505
3001415,1,1,41,6443,1,6443
3001416,1,3,479,5932,3,5932
3001417,1,3,591,6036,3,6036
3001418,1,4,1524,10277,4,10277
3001419,1,13,1335,8555,13,8555
300142,0,0,0,0,0,0
3001420,1,7,525,8287,7,8287
3001421,1,1,368,7665,1,7665
3001422,1,7,2677,5361,7,5361
3001423,1,2,240,7302,2,7302
3001424,1,1,18,7372,1,7372
3001425,1,0,0,1352,0,1352
3001426,1,1,30,356,1,356
3001427,1,2,327,6296,2,6296
3001428,1,4,713,9251,4,9251
3001429,1,0,0,850,0,850
300143,0,0,0,0,0,0
3001430,1,5,830,5769,5,5769
3001431,1,2,132,3324,2,3324
3001432,1,2,167,6677,2,6677
3001433,1,8,1083,6978,8,6978
3001434,1,2,629,6597,2,6597
3001435,1,4,587,5224,4,5224
3001436,1,2,679,8348,2,8348
3001437,1,5,826,9861,5,9861
3001438,1,3,548,7978,3,7978
3001439,1,0,0,2420,0,2420
300144,1,0,0,123,0,123
3001440,1,2,339,7525,2,7525
3001441,1,6,1443,10793,6,10793
3001442,1,5,1597,10974,5,10974
3001443,1,2,589,8635,2,8635
3001444,1,2,217,5987,2,5987
3001445,1,5,247,7092,5,7092
3001446,1,2,39,5524,2,5524
3001447,0,0,0,0,0,0
3001448,1,3,142,4380,3,4380
3001449,1,3,173,7997,3,7997
300145,0,0,0,0,0,0
3001450,1,4,249,6010,4,6010
3001451,1,0,0,362,0,362
3001452,1,3,514,5637,3,5637
3001453,1,3,726,4886,3,4886
3001454,1,1,17,7307,1,7307
3001455,1,10,1280,8061,10,8061
3001456,1,4,509,4673,4,4673
3001457,1,2,207,4223,2,4223
3001458,1,0,0,5445,0,5445
3001459,1,7,886,11185,7,11185
300146,1,4,2107,2291,4,2291
3001460,1,4,1142,7082,4,7082
3001461,1,1,373,642,1,642
3001462,1,3,148,4594,3,4594
3001463,1,6,1958,9144,6,9144
3001464,1,7,2323,7870,7,7870
3001465,1,5,754,7073,5,7073
3001466,1,2,55,7626,2,7626
3001467,1,0,0,3838,0,3838
3001468,1,0,0,2577,0,2577
3001469,1,0,0,301,0,301
300147,1,10,4350,5207,10,5207
3001470,1,0,0,2526,0,2526
3001471,1,0,0,937,0,937
3001472,0,0,0,0,0,0
3001473,0,0,0,0,0,0
3001474,1,3,430,8182,3,8182
3001475,1,5,779,6357,5,6357
3001476,1,0,0,1226,0,1226
3001477,1,1,162,2819,1,2819
3001478,1,3,343,6778,3,6778
3001479,1,3,348,5652,3,5652
300148,1,3,217,3613,3,3613
3001480,1,3,189,7376,3,7376
3001481,1,8,796,9351,8,9351
3001482,1,6,825,11064,6,11064
3001483,1,7,1479,6951,7,6951
3001484,1,1,22,5823,1,5823
3001485,1,2,157,6846,2,6846
3001486,1,2,55,6009,2,6009
3001487,1,3,533,7147,3,7147
3001488,1,4,238,6543,4,6543
3001489,1,2,113,863,2,863
300149,1,2,267,4957,2,4957
3001490,1,0,0,1037,0,1037
3001491,0,0,0,0,0,0
3001492,0,0,0,0,0,0
3001493,0,0,0,0,0,0
3001494,0,0,0,0,0,0
3001495,0,0,0,0,0,0
3001496,1,3,437,10338,3,10338
3001497,1,1,65,4621,1,4621
3001498,0,0,0,0,0,0
3001499,1,1,92,13,1,13
30015,1,2,256,2366,2,2366
300150,1,4,565,7152,4,7152
3001500,1,1,25,1637,1,1637
3001501,1,0,0,1797,0,1797
3001502,1,1,16,3887,1,3887
3001503,1,6,443,7573,6,7573
3001504,1,6,546,9732,6,9732
3001505,1,9,915,9542,9,9542
3001506,1,10,1355,10572,10,10572
3001507,1,4,718,7665,4,7665
3001508,1,3,379,7197,3,7197
3001509,1,1,21,5855,1,5855
300151,1,1,193,6271,1,6271
3001510,1,0,0,2364,0,2364
3001511,1,0,0,0,0,0
3001512,0,0,0,0,0,0
3001513,0,0,0,0,0,0
3001514,0,0,0,0,0,0
3001515,0,0,0,0,0,0
3001516,0,0,0,0,0,0
3001517,0,0,0,0,0,0
3001518,1,0,0,4132,0,4132
3001519,1,0,0,1338,0,1338
300152,1,3,476,4916,3,4916
3001520,0,0,0,0,0,0
3001521,1,0,0,0,0,0
3001522,1,0,0,0,0,0
3001523,0,0,0,0,0,0
3001524,0,0,0,7,0,7
3001525,1,1,369,2003,1,2003
3001526,1,7,765,4997,7,4997
3001527,1,2,162,3730,2,3730
3001528,1,2,432,6406,2,6406
3001529,1,3,966,6619,3,6619
300153,1,0,0,3449,0,3449
3001530,1,1,191,2877,1,2877
3001531,1,0,0,312,0,312
3001532,0,0,0,0,0,0
3001533,0,0,0,0,0,0
3001534,0,0,0,0,0,0
3001535,0,0,0,0,0,0
3001536,0,0,0,0,0,0
3001537,0,0,0,0,0,0
3001538,0,0,0,0,0,0
3001539,0,0,0,0,0,0
300154,1,5,2595,5150,5,5150
300155,1,3,2788,3893,3,3893
300156,1,33,53714,54246,33,54246
300157,0,35,72653,72695,35,72695
300158,1,8,4509,4871,8,4871
300159,1,4,906,2612,4,2612
30016,1,4,973,6710,4,6710
300160,1,5,1179,3739,5,3739
300161,1,4,420,2643,4,2643
300162,1,1,16439,17443,1,17443
300163,1,0,0,55,0,55
300164,1,0,0,57,0,57
300165,0,0,0,0,0,0
300166,0,0,0,0,0,0
300167,0,0,0,0,0,0
300168,0,0,0,0,0,0
300169,1,3,1603,2907,3,2907
30017,1,2,204,11829,2,11829
300170,1,1,41,4517,1,4517
300171,1,3,406,6601,3,6601
300172,1,7,390,9066,7,9066
300173,1,6,1657,6831,6,6831
300174,1,4,1799,4028,4,4028
300175,1,4,100,3668,4,3668
300176,1,3,261,4292,3,4292
300177,1,2,1343,4024,2,4024
300178,1,8,15432,16815,8,16815
300179,1,6,7493,8467,6,8467
30018,1,1,1317,2358,1,2358
300180,1,9,33854,34932,9,34932
300181,1,5,3322,9699,5,9699
300182,1,0,0,5416,0,5416
300183,1,0,0,527,0,527
300184,0,0,0,0,0,0
300185,0,0,0,0,0,0
300186,1,0,0,40,0,40
300187,1,0,0,37,0,37
300188,0,0,0,0,0,0
300189,0,0,0,0,0,0
30019,0,0,0,0,0,0
300190,0,0,0,0,0,0
300191,1,1,22,244,1,244
300192,1,1,19,4758,1,4758
300193,1,5,610,5984,5,5984
300194,1,4,681,4539,4,4539
300195,1,3,277,3666,3,3666
300196,1,3,663,9710,3,9710
300197,1,1,80,3801,1,3801
300198,1,1,95,2954,1,2954
300199,1,1,388,3732,1,3732
3002,0,0,0,0,0,0
30020,1,0,0,2562,0,2562
300200,1,1,629,3117,1,3117
300201,1,3,140,3579,3,3579
300202,1,6,1819,2991,6,2991
300203,1,0,0,7355,0,7355
300204,1,1,41,9849,1,9849
300205,1,1,57,287,1,287
300206,0,0,0,0,0,0
300207,0,0,0,0,0,0
300208,0,0,0,0,0,0
300209,0,0,0,0,0,0
30021,1,1,129,2861,1,2861
300210,1,0,0,392,0,392
300211,1,0,0,543,0,543
300212,1,4,492,2140,4,2140
300213,1,3,1011,779,3,779
300214,1,1,2079,5887,1,5887
300215,1,4,1407,7361,4,7361
300216,1,2,792,7618,2,7618
300217,1,4,521,4045,4,4045
300218,1,4,365,7328,4,7328
300219,1,2,982,1651,2,1651
30022,0,0,0,0,0,0
300220,1,11,2869,11703,11,11703
300221,1,2,58,4844,2,4844
300222,1,6,6251,6416,6,6416
300223,1,7,1119,5288,7,5288
300224,1,2,118,4418,2,4418
300225,1,2,149,3902,2,3902
300226,1,4,7304,11348,4,11348
300227,1,0,0,0,0,0
300228,0,0,0,0,0,0
300229,0,0,0,0,0,0
30023,0,0,0,0,0,0
300230,1,0,0,2129,0,2129
300231,1,0,0,2696,0,2696
300232,1,0,0,1439,0,1439
300233,1,0,0,2147,0,2147
300234,1,0,0,1252,0,1252
300235,1,4,5377,5624,4,5624
300236,1,3,625,2502,3,2502
300237,1,2,55,6715,2,6715
300238,1,5,283,4455,5,4455
300239,1,1,80,4682,1,4682
30024,0,0,0,0,0,0
300240,1,1,22,5124,1,5124
300241,1,0,0,2107,0,2107
300242,1,12,4163,12288,12,12288
300243,1,3,229,5012,3,5012
300244,1,4,1891,4864,4,4864
300245,1,9,4083,8855,9,8855
300246,1,8,2259,5343,8,5343
300247,1,0,0,702,0,702
300248,0,0,0,0,0,0
300249,0,0,0,0,0,0
30025,1,0,0,3429,0,3429
300250,0,0,0,0,0,0
300251,1,1,27321,29814,1,29814
300252,1,2,20048,27253,2,27253
300253,1,2,51,34770,2,34770
300254,1,1,669,5133,1,5133
300255,1,2,731,5241,2,5241
300256,1,0,0,1130,0,1130
300257,0,0,0,0,0,0
300258,1,1,39,105,1,105
300259,1,4,472,2997,4,2997
30026,1,6,386,13648,6,13648
300260,1,7,324,3442,7,3442
300261,1,0,0,1725,0,1725
300262,1,4,433,3769,4,3769
300263,1,0,0,1789,0,1789
300264,1,5,13419,10509,5,10509
300265,1,3,217,6149,3,6149
300266,1,2,116,8333,2,8333
300267,1,7,2200,7860,7,7860
300268,1,7,1560,8074,7,8074
300269,1,1,63,2328,1,2328
30027,1,4,2502,4998,4,4998
300270,1,2,132,1809,2,1809
300271,1,1,206,273,1,273
300272,1,1,42,3610,1,3610
300273,1,7,3480,13721,7,13721
300274,1,8,1432,9418,8,9418
300275,1,3,4103,5826,3,5826
300276,1,1,98,642,1,642
300277,0,1,119,123,1,123
300278,0,0,0,0,0,0
300279,0,0,0,0,0,0
30028,1,0,0,2,0,2
300280,0,0,0,0,0,0
300281,0,0,0,0,0,0
300282,1,1,59,342,1,342
300283,1,1,48,954,1,954
300284,1,0,0,85,0,85
300285,1,0,0,24,0,24
300286,1,6,657,5443,6,5443
300287,1,8,2095,6692,8,6692
300288,1,5,2998,11058,5,11058
300289,1,5,605,5647,5,5647
30029,1,1,483,592,1,592
300290,1,3,114,3115,3,3115
300291,1,1,20,2469,1,2469
300292,1,4,231,6080,4,6080
300293,1,6,461,2356,6,2356
300294,1,4,407,10121,4,10121
300295,1,7,2362,14971,7,14971
300296,1,2,318,3002,2,3002
300297,0,0,0,0,0,0
300298,0,0,0,0,0,0
300299,0,0,0,0,0,0
3003,1,1,131,2468,1,2468
30030,1,4,2360,1867,4,1867
300300,0,0,0,0,0,0
300301,0,0,0,0,0,0
300302,0,0,0,0,0,0
300303,0,0,0,0,0,0
300304,0,0,0,0,0,0
300305,0,0,0,0,0,0
300306,0,0,0,0,0,0
300307,0,0,0,0,0,0
300308,1,6,586,6142,6,6142
300309,1,3,497,3185,3,3185
30031,1,2,105,5969,2,5969
300310,1,4,350,2874,4,2874
300311,1,1,32,2043,1,2043
300312,1,1,347,5026,1,5026
300313,1,4,894,5290,4,5290
300314,1,4,368,3919,4,3919
300315,1,3,135,3294,3,3294
300316,1,4,228,9807,4,9807
300317,1,5,1035,10919,5,10919
300318,1,8,5191,9567,8,9567
300319,0,0,0,0,0,0
30032,1,5,373,7091,5,7091
300320,0,0,0,0,0,0
300321,0,0,0,0,0,0
300322,0,0,0,0,0,0
300323,0,0,0,0,0,0
300324,0,0,0,0,0,0
300325,0,0,0,0,0,0
300326,0,0,0,0,0,0
300327,0,0,0,0,0,0
300328,0,0,0,0,0,0
300329,0,0,0,0,0,0
30033,1,8,2857,8181,8,8181
300330,1,7,1253,9600,7,9600
300331,1,2,107,8496,2,8496
300332,1,7,1026,12043,7,12043
300333,1,10,1328,13232,10,13232
300334,1,8,864,13601,8,13601
300335,1,1,146,5451,1,5451
300336,1,4,2555,9033,4,9033
300337,1,3,625,6044,3,6044
300338,1,4,493,9357,4,9357
300339,1,5,300,10952,5,10952
30034,1,2,3702,6869,2,6869
300340,1,9,5058,12967,9,12967
300341,1,1,276,308,1,308
